藏文	汉译	频次	出处
རང་བཞིན	自性	294	宝性论大疏、极广胜乘中观决定
སེམས་ཅན	有情	260	宝性论大疏、极广胜乘中观决定
ཐམས་ཅད	一切	243	宝性论大疏、极广胜乘中观决定
ཡོན་ཏན	功德	216	宝性论大疏、极广胜乘中观决定
དོན་དམ	胜义	186	宝性论大疏、极广胜乘中观决定
ཁྱད་པར	差别	124	宝性论大疏、极广胜乘中观决定
དེ་བཞིན་ཉིད	真如	120	宝性论大疏、极广胜乘中观决定
ཉོན་མོངས	烦恼	115	宝性论大疏、极广胜乘中观决定
དེ་བཞིན	如是	112	宝性论大疏、极广胜乘中观决定
དག་པ	清净	107	宝性论大疏、极广胜乘中观决定
དེ་དག	彼等	105	宝性论大疏、极广胜乘中观决定
དེ་ལྟར	如是	102	宝性论大疏、极广胜乘中观决定
མཐར་ཐུག	究竟	100	宝性论大疏、极广胜乘中观决定
གང་ཟག	补特伽罗	96	宝性论大疏、极广胜乘中观决定
བྱང་ཆུབ་སེམས་དཔའ	菩萨	92	宝性论大疏、极广胜乘中观决定
ཐེག་པ	乘（泛指，如三乘 ཐེག་པ་གསུམ、无标记时）｜大乘（ཐེག་ཆེན 等大乘语境）	89	宝性论大疏、极广胜乘中观决定｜人工校正｜多义
བྱང་ཆུབ	菩提	82	宝性论大疏、极广胜乘中观决定
བག་ཆགས	习气	75	宝性论大疏、极广胜乘中观决定
འཇིག་རྟེན	世间	70	宝性论大疏、极广胜乘中观决定
ཉན་ཐོས	声闻	68	宝性论大疏、极广胜乘中观决定
ཀུན་རྫོབ	世俗	65	宝性论大疏、极广胜乘中观决定
ས་བོན	种子	65	宝性论大疏、极广胜乘中观决定
བཅོམ་ལྡན་འདས	世尊	64	宝性论大疏
འཕྲིན་ལས	事业	63	宝性论大疏、极广胜乘中观决定
མཐའ་དག	一切	56	宝性论大疏、极广胜乘中观决定
དེ་བཞིན་གཤེགས་པའི་སྙིང་པོ	如来藏	54	宝性论大疏、极广胜乘中观决定
ནམ་མཁའ	虚空	53	宝性论大疏、极广胜乘中观决定
ཉོན་མོངས་པ	烦恼	52	宝性论大疏、极广胜乘中观决定
དེ་བཞིན་གཤེགས་པ	如来	50	宝性论大疏、极广胜乘中观决定
འཁོར་བ	生死	50	宝性论大疏、极广胜乘中观决定
ཆོས་ཉིད	法性	49	宝性论大疏、极广胜乘中观决定
ཤེས་བྱ	所知	49	宝性论大疏、极广胜乘中观决定
ཐར་པ	解脱	49	宝性论大疏
མཚན་ཉིད	性相	47	宝性论大疏、极广胜乘中观决定
མཐར་ཐུག་པ	究竟	46	宝性论大疏、极广胜乘中观决定
ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས	正等觉	45	宝性论大疏
སྣ་ཚོགས	种种	44	宝性论大疏、极广胜乘中观决定
སྟོང་པ	空／空性（一般，如 X གྱིས་སྟོང་པ「X 空」）｜自性空（自空 rang stong 语境）	44	宝性论大疏、极广胜乘中观决定｜人工校正｜多义
དེ་ཉིད	彼／其（回指前文所述者，如 ཆོས་དབྱིངས་དེ་ཉིད「彼法界」）｜真实性／自性（实义，指事物本身之实性，同 དེ་ཁོ་ན་ཉིད）	43	宝性论大疏、极广胜乘中观决定｜人工校正｜多义
རང་རྒྱུད	自相续	43	宝性论大疏、极广胜乘中观决定
ཡོངས་སུ	一切	40	宝性论大疏、极广胜乘中观决定
སྟོང་པ་ཉིད	空性	40	宝性论大疏、极广胜乘中观决定
ངོ་བོ	体性	39	宝性论大疏、极广胜乘中观决定
མོས་པ	胜解	39	宝性论大疏
བདག་མེད	无我	38	宝性论大疏、极广胜乘中观决定
དབྱེ་བ	差别	38	宝性论大疏、极广胜乘中观决定
དམིགས་པ	所缘	38	宝性论大疏、极广胜乘中观决定
ཆོས་སྐུ	法身	37	宝性论大疏、极广胜乘中观决定
དེས་ན	因此	37	宝性论大疏、极广胜乘中观决定
