藏文	汉译	频次	出处	已入主表
རང་བཞིན	自性	288	宝性论大疏、极广胜乘中观决定	是
སེམས་ཅན	有情	260	宝性论大疏、极广胜乘中观决定	是
ཐམས་ཅད	一切	224	宝性论大疏、极广胜乘中观决定	是
ཡོན་ཏན	功德	223	宝性论大疏、极广胜乘中观决定	是
དོན་དམ	胜义	152	宝性论大疏、极广胜乘中观决定	是
ཁྱད་པར	差别	124	宝性论大疏、极广胜乘中观决定	是
ཉོན་མོངས	烦恼	115	宝性论大疏、极广胜乘中观决定	是
དེ་བཞིན་ཉིད	真如	113	宝性论大疏、极广胜乘中观决定	是
དེ་བཞིན	如是	113	宝性论大疏、极广胜乘中观决定	是
དེ་ལྟར	如是	111	宝性论大疏、极广胜乘中观决定	是
དེ་དག	彼等	104	宝性论大疏、极广胜乘中观决定	是
མཐར་ཐུག	究竟	100	宝性论大疏、极广胜乘中观决定	是
གང་ཟག	补特伽罗	96	宝性论大疏、极广胜乘中观决定	是
དག་པ	清净	96	宝性论大疏	是
བྱང་ཆུབ་སེམས་དཔའ	菩萨	92	宝性论大疏、极广胜乘中观决定	是
བྱང་ཆུབ	菩提	79	宝性论大疏、极广胜乘中观决定	是
ཐེག་པ	大乘	79	宝性论大疏、极广胜乘中观决定	是
བག་ཆགས	习气	74	宝性论大疏、极广胜乘中观决定	是
འཇིག་རྟེན	世间	70	宝性论大疏、极广胜乘中观决定	是
ཉན་ཐོས	声闻	68	宝性论大疏、极广胜乘中观决定	是
ཀུན་རྫོབ	世俗	65	宝性论大疏、极广胜乘中观决定	是
ས་བོན	种子	65	宝性论大疏、极广胜乘中观决定	是
བཅོམ་ལྡན་འདས	世尊	64	宝性论大疏	是
འཕྲིན་ལས	事业	63	宝性论大疏、极广胜乘中观决定	是
འཁོར་བ	生死	56	宝性论大疏、极广胜乘中观决定	是
དེ་བཞིན་གཤེགས་པའི་སྙིང་པོ	如来藏	54	宝性论大疏、极广胜乘中观决定	是
མཐའ་དག	一切	53	宝性论大疏、极广胜乘中观决定	是
ནམ་མཁའ	虚空	53	宝性论大疏、极广胜乘中观决定	是
ཉོན་མོངས་པ	烦恼	52	宝性论大疏、极广胜乘中观决定	是
དེ་བཞིན་གཤེགས་པ	如来	50	宝性论大疏、极广胜乘中观决定	是
ཤེས་བྱ	所知	49	宝性论大疏、极广胜乘中观决定	是
ཐར་པ	解脱	49	宝性论大疏	是
མཚན་ཉིད	性相	46	宝性论大疏、极广胜乘中观决定	是
སྟོང་པ་ཉིད	空性	46	宝性论大疏、极广胜乘中观决定	是
མཐར་ཐུག་པ	究竟	46	宝性论大疏、极广胜乘中观决定	是
མོས་པ	胜解	46	宝性论大疏	是
སྣ་ཚོགས	种种	45	宝性论大疏、极广胜乘中观决定	是
ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས	正等觉	45	宝性论大疏	是
ཆོས་ཉིད	法性	44	宝性论大疏、极广胜乘中观决定	是
སྟོང་པ	自性空	44	宝性论大疏、极广胜乘中观决定	是
རང་རྒྱུད	自相续	43	宝性论大疏、极广胜乘中观决定	是
དེ་ཉིད	自性	42	宝性论大疏、极广胜乘中观决定	是
ཡོངས་སུ	一切	40	宝性论大疏、极广胜乘中观决定	是
