藏文	汉译	频次	出处
འཁོར་ལོ	轮	0	人工校正·时轮内瑜伽身轮语境覆盖（脉轮/身轮，非法轮）
ངེས་པ	定解	0	人工校正·时轮（章节收束/抉择义）
སའི་དཀྱིལ་འཁོར	地坛城	0	人工校正·时轮五大坛城降注（区别于 འཁོར་ལོ 脉轮）
ཆུའི་དཀྱིལ་འཁོར	水坛城	0	人工校正·时轮五大坛城降注
མེའི་དཀྱིལ་འཁོར	火坛城	0	人工校正·时轮五大坛城降注
རླུང་གི་དཀྱིལ་འཁོར	风坛城	0	人工校正·时轮五大坛城降注
སྟོང་པའི་དཀྱིལ་འཁོར	空坛城	0	人工校正·时轮五大坛城降注
ནམ་མཁའི་དཀྱིལ་འཁོར	虚空坛城	0	人工校正·时轮五大坛城降注
ཡེ་ཤེས་ཀྱི་དཀྱིལ་འཁོར	智慧坛城	0	人工校正·时轮五大坛城降注
དཀྱིལ་འཁོར	坛城	0	人工校正·时轮（曼陀罗/中围，区别于 འཁོར་ལོ 脉轮）
ཚན་དོ་ཧ	欢喜地	0	人工校正·时轮二十四圣处（chandoha，配身名相）
དུར་ཁྲོད	尸陀林	0	人工校正·时轮圣处（尸林/尸陀林）
འཁོར་ལོ་ཅན	转轮王	0	人工校正·时轮香巴拉法王称号（用户改定；与 av-lo-sgyur-ba 同译转轮王，区别于 འཁོར་ལོ 脉轮）
འཁོར་ལོས་སྒྱུར་བ	转轮王	0	人工校正·时轮（转轮圣王）
རིགས་ལྡན	法胤	0	人工校正·时轮香巴拉法王世系（Rigden）
ཀླ་ཀློ	蔑戾车	0	人工校正·时轮（mleccha·边地异教/蛮族）
ཀཻ་ལཱ་ཤ	迦湿弥罗	0	人工校正·时轮地名（用户定；Kailāśa 依此传承作迦湿弥罗）
ཀཻ་ལ་ཤ	迦湿弥罗	0	人工校正·时轮地名（Kailāśa 异写）
མ་ཁ	麦加	0	人工校正·时轮末法蛮族战场地名（Mecca；勿误作 མཁའ 虚空，法义笔记一）
རྣལ་འབྱོར་མ	瑜伽母	0	人工校正·时轮（yoginī；瑜伽母续 rnal byor
སྒྱུ་འཕྲུལ་དྲ་བ	幻化网	0	人工校正·时轮叶51（Māyājāla；旧机译作『幻网』，统一为『幻化网』）
དུས་སྦྱོར	时合	0	人工校正·时轮叶51历算（lagna 上升宫/时分；一日十二时合）
ལྷ་ཟུང	双运本尊	0	人工校正·时轮叶51（一对父母双运本尊；配本尊计数单位，×2＝尊+尊母）
བདག་པོ་ཟུང	主尊父母双	0	人工校正·时轮叶51（坛城主尊父母双运；计数时作『余二』并入）
ཉིན་ཞག་གི་ཡན་ལག	日夜支分	0	人工校正·时轮叶51历算（日之支分＝时合；45日×12＝540）
རྒྱུད་ཀྱི་རྒྱལ་པོ	续王	0	人工校正·时轮叶51（tantrarāja；密集六续王、幻化网三分共九续王）
